,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_category
17245,-119.67,34.42,37.0,1673.0,444.0,1477.0,446.0,2.0643,<1H OCEAN,2
4680,-118.34,34.07,52.0,3421.0,598.0,1203.0,564.0,4.1618,<1H OCEAN,3
18168,-122.03,37.37,16.0,3402.0,1193.0,1479.0,1043.0,3.5861,<1H OCEAN,3
17690,-121.83,37.31,19.0,11181.0,1895.0,7817.0,1853.0,5.6058,<1H OCEAN,4
561,-122.23,37.76,52.0,1705.0,246.0,658.0,253.0,5.75,NEAR BAY,4
18551,-122.03,36.96,28.0,1607.0,421.0,926.0,385.0,2.425,NEAR OCEAN,2
10478,-117.69,33.6,16.0,2205.0,393.0,1333.0,402.0,3.475,<1H OCEAN,3
643,-122.14,37.73,43.0,2264.0,390.0,931.0,368.0,3.8125,NEAR BAY,3
14358,-117.22,32.74,52.0,1283.0,173.0,436.0,190.0,7.4029,NEAR OCEAN,5
13445,-117.45,34.07,21.0,3465.0,639.0,2292.0,628.0,3.3553,INLAND,3
15075,-117.0,32.8,29.0,2045.0,398.0,912.0,368.0,3.0189,<1H OCEAN,3
3156,-118.44,35.13,21.0,1899.0,447.0,1133.0,391.0,1.8636,INLAND,2
18234,-122.1,37.4,27.0,3410.0,1156.0,2314.0,1086.0,3.4868,NEAR BAY,3
3851,-118.44,34.18,35.0,972.0,270.0,550.0,256.0,2.2461,<1H OCEAN,2
14007,-117.18,32.75,52.0,1504.0,208.0,518.0,196.0,8.603,NEAR OCEAN,5
9290,-122.53,38.01,16.0,1495.0,292.0,472.0,284.0,3.4432,NEAR BAY,3
10131,-117.91,33.92,21.0,380.0,91.0,398.0,70.0,4.7222,<1H OCEAN,4
11934,-117.41,33.93,35.0,793.0,150.0,669.0,128.0,4.0156,INLAND,3
2926,-119.01,35.36,36.0,2658.0,626.0,1490.0,529.0,1.2157,INLAND,1
10846,-117.9,33.67,25.0,639.0,98.0,311.0,93.0,6.6833,<1H OCEAN,5
16258,-121.26,37.96,43.0,940.0,208.0,690.0,181.0,2.3056,INLAND,2
9717,-121.79,36.85,28.0,1049.0,235.0,705.0,208.0,2.7321,NEAR OCEAN,2
5731,-118.21,34.16,25.0,434.0,74.0,199.0,75.0,5.9199,<1H OCEAN,4
10544,-117.76,33.71,14.0,4321.0,582.0,2025.0,578.0,8.3634,<1H OCEAN,5
921,-121.93,37.53,27.0,5532.0,973.0,2855.0,960.0,4.7478,<1H OCEAN,4
17666,-121.87,37.32,36.0,1471.0,360.0,1182.0,326.0,2.7031,<1H OCEAN,2
5094,-118.3,33.97,46.0,1425.0,317.0,1140.0,304.0,3.375,<1H OCEAN,3
5000,-118.28,33.99,49.0,2174.0,481.0,1861.0,484.0,1.7159,<1H OCEAN,2
1493,-122.01,37.94,23.0,3741.0,,1339.0,499.0,6.7061,NEAR BAY,5
3048,-119.27,35.5,21.0,2171.0,483.0,1315.0,450.0,1.7105,INLAND,2
12817,-121.49,38.62,8.0,15309.0,2996.0,7463.0,2885.0,3.9143,INLAND,3
14294,-117.13,32.72,43.0,2160.0,504.0,1221.0,452.0,2.4821,NEAR OCEAN,2
9272,-122.59,38.13,20.0,1589.0,231.0,601.0,224.0,5.3755,<1H OCEAN,4
10316,-117.8,33.85,16.0,4151.0,637.0,1558.0,604.0,5.806,<1H OCEAN,4
18577,-121.77,36.93,20.0,2587.0,547.0,1534.0,540.0,2.4375,<1H OCEAN,2
18860,-122.22,38.12,15.0,14125.0,2344.0,6456.0,2147.0,5.1014,NEAR BAY,4
1457,-121.97,37.97,26.0,1977.0,264.0,817.0,273.0,5.7512,INLAND,4
14599,-117.17,32.82,24.0,1569.0,377.0,715.0,321.0,3.1146,NEAR OCEAN,3
16595,-121.32,37.67,21.0,1494.0,271.0,781.0,255.0,4.3015,INLAND,3
17387,-120.44,34.97,26.0,1705.0,344.0,1605.0,307.0,3.7589,<1H OCEAN,3
10089,-117.97,33.94,35.0,1928.0,360.0,1056.0,366.0,4.0893,<1H OCEAN,3
2458,-119.59,36.52,35.0,990.0,192.0,674.0,178.0,3.3214,INLAND,3
14837,-117.1,32.68,47.0,771.0,224.0,637.0,212.0,2.0156,NEAR OCEAN,2
7980,-118.17,33.87,48.0,2258.0,509.0,1395.0,492.0,3.765,<1H OCEAN,3
8378,-118.35,33.95,42.0,1779.0,431.0,1507.0,380.0,2.8892,<1H OCEAN,2
15021,-117.03,32.79,17.0,7352.0,1699.0,3331.0,1634.0,2.7006,<1H OCEAN,2
3059,-119.77,35.65,21.0,2403.0,483.0,1647.0,415.0,2.6066,INLAND,2
17363,-120.42,34.95,52.0,1391.0,287.0,632.0,276.0,1.7431,<1H OCEAN,2
9327,-122.52,37.95,37.0,350.0,57.0,179.0,69.0,6.2862,NEAR BAY,5
19405,-120.99,37.7,14.0,9849.0,1887.0,4356.0,1780.0,3.5877,INLAND,3
9505,-123.21,39.18,17.0,2772.0,576.0,1501.0,584.0,2.6275,<1H OCEAN,2
1995,-119.77,36.72,43.0,1763.0,389.0,1623.0,390.0,1.4427,INLAND,1
1781,-122.36,37.94,45.0,907.0,188.0,479.0,161.0,3.0862,NEAR BAY,3
20250,-119.18,34.24,17.0,629.0,221.0,514.0,186.0,3.2847,NEAR OCEAN,3
7147,-118.14,34.03,44.0,2003.0,390.0,1291.0,392.0,4.0625,<1H OCEAN,3
14969,-117.01,32.75,34.0,2105.0,340.0,973.0,357.0,4.3088,<1H OCEAN,3
1086,-121.85,39.72,18.0,7272.0,1559.0,5022.0,1524.0,1.6911,INLAND,2
12327,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665,INLAND,1
16732,-120.65,35.41,15.0,6725.0,1111.0,3139.0,1029.0,4.1875,<1H OCEAN,3
15786,-122.39,37.78,5.0,1405.0,515.0,725.0,392.0,3.6037,NEAR BAY,3
19938,-119.33,36.28,16.0,2624.0,527.0,1077.0,520.0,2.125,INLAND,2
1742,-122.35,37.96,36.0,2191.0,531.0,1563.0,524.0,2.5164,NEAR BAY,2
9130,-118.03,34.58,4.0,9849.0,1780.0,4546.0,1598.0,4.0729,INLAND,3
5123,-118.31,33.96,47.0,2005.0,392.0,1134.0,415.0,3.7143,<1H OCEAN,3
11946,-117.43,33.93,31.0,1273.0,262.0,686.0,254.0,2.4922,INLAND,2
3112,-117.64,35.61,10.0,2656.0,506.0,1349.0,501.0,4.25,INLAND,3
4660,-118.31,34.05,40.0,1667.0,365.0,1161.0,384.0,3.1406,<1H OCEAN,3
18385,-121.83,37.2,6.0,3694.0,574.0,1554.0,527.0,6.8333,<1H OCEAN,5
6234,-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,<1H OCEAN,4
17956,-121.97,37.33,21.0,8275.0,1566.0,3636.0,1524.0,5.1506,<1H OCEAN,4
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,NEAR BAY,4
17549,-121.86,37.35,46.0,1448.0,330.0,1094.0,331.0,2.4968,<1H OCEAN,2
14991,-117.03,32.73,38.0,3174.0,606.0,1557.0,619.0,3.5861,NEAR OCEAN,3
5040,-118.32,33.98,44.0,1448.0,314.0,861.0,310.0,2.2396,<1H OCEAN,2
2414,-119.43,36.59,15.0,1371.0,306.0,1266.0,309.0,1.767,INLAND,2
17999,-121.97,37.28,27.0,2427.0,403.0,1301.0,438.0,5.0385,<1H OCEAN,4
16460,-121.3,38.12,11.0,1792.0,252.0,767.0,263.0,7.6889,INLAND,5
4308,-118.31,34.09,42.0,1951.0,846.0,2500.0,813.0,1.5195,<1H OCEAN,2
11552,-117.99,33.75,30.0,1859.0,462.0,1314.0,418.0,3.0909,<1H OCEAN,3
19452,-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,INLAND,3
7741,-118.15,33.95,35.0,2753.0,702.0,1592.0,614.0,2.7875,<1H OCEAN,2
8607,-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,<1H OCEAN,4
11067,-117.9,33.78,25.0,10336.0,2596.0,7111.0,2419.0,3.3627,<1H OCEAN,3
12536,-121.51,38.55,45.0,3032.0,631.0,1341.0,597.0,2.8417,INLAND,2
16069,-122.49,37.75,47.0,2140.0,425.0,1105.0,401.0,3.7054,NEAR OCEAN,3
14620,-117.16,32.79,32.0,1731.0,413.0,1569.0,427.0,3.3375,NEAR OCEAN,3
6032,-117.72,34.07,33.0,4100.0,740.0,2580.0,730.0,3.7321,INLAND,3
587,-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,NEAR BAY,4
2490,-120.31,36.65,24.0,943.0,209.0,514.0,156.0,2.25,INLAND,2
12062,-117.58,33.87,17.0,2772.0,449.0,1685.0,461.0,5.0464,INLAND,4
16131,-122.48,37.79,52.0,4683.0,1055.0,2246.0,975.0,4.1148,NEAR BAY,3
14439,-117.24,32.8,30.0,1917.0,462.0,828.0,437.0,2.4671,NEAR OCEAN,2
7601,-118.26,33.89,36.0,2230.0,417.0,1395.0,381.0,2.8493,<1H OCEAN,2
1306,-121.83,37.99,23.0,1150.0,174.0,572.0,174.0,4.9167,INLAND,4
6001,-117.75,34.09,36.0,3094.0,556.0,1672.0,545.0,4.2143,INLAND,3
2904,-119.01,35.37,45.0,629.0,143.0,568.0,139.0,1.7321,INLAND,2
4154,-118.2,34.11,46.0,3659.0,1068.0,4153.0,993.0,2.5211,<1H OCEAN,2
19040,-122.0,38.36,34.0,1502.0,282.0,860.0,297.0,3.3438,INLAND,3
1052,-120.8,38.31,37.0,1341.0,256.0,533.0,242.0,3.2135,INLAND,3
8746,-118.34,33.8,25.0,4177.0,832.0,2123.0,789.0,5.0814,<1H OCEAN,4
19096,-122.6,38.24,16.0,2621.0,416.0,1247.0,386.0,4.8603,<1H OCEAN,4
6483,-118.02,34.08,29.0,2741.0,667.0,2449.0,677.0,3.6944,INLAND,3
20145,-119.09,34.35,20.0,4725.0,881.0,2823.0,869.0,4.0122,<1H OCEAN,3
6743,-118.07,34.12,30.0,2201.0,559.0,1194.0,531.0,4.1136,INLAND,3
15918,-122.42,37.74,52.0,1540.0,370.0,1136.0,363.0,4.3125,NEAR BAY,3
13317,-117.64,34.07,30.0,2787.0,713.0,2647.0,693.0,2.2765,INLAND,2
19227,-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,<1H OCEAN,5
8834,-118.37,34.09,22.0,4247.0,1253.0,1766.0,1170.0,3.1517,<1H OCEAN,3
16829,-122.47,37.61,34.0,4551.0,837.0,2208.0,834.0,5.4364,NEAR OCEAN,4
1379,-122.07,38.0,37.0,978.0,202.0,462.0,184.0,3.625,NEAR BAY,3
5335,-118.46,34.04,25.0,2768.0,850.0,1558.0,784.0,3.6976,<1H OCEAN,3
3194,-119.7,36.32,40.0,1178.0,244.0,586.0,187.0,2.6477,INLAND,2
16573,-121.42,37.74,35.0,796.0,132.0,313.0,152.0,3.15,INLAND,3
6677,-118.1,34.15,32.0,978.0,227.0,543.0,211.0,3.0096,INLAND,3
3402,-118.35,34.27,32.0,604.0,108.0,314.0,113.0,6.2037,<1H OCEAN,5
17165,-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382,NEAR OCEAN,5
14724,-117.01,32.8,17.0,1042.0,210.0,650.0,215.0,3.1,<1H OCEAN,3
19555,-121.01,37.61,5.0,3655.0,696.0,2316.0,647.0,3.4703,INLAND,3
7151,-118.15,34.03,43.0,2006.0,472.0,1687.0,463.0,1.7991,<1H OCEAN,2
1275,-121.7,37.93,10.0,3258.0,612.0,1779.0,558.0,4.6587,INLAND,4
18221,-122.08,37.4,19.0,3565.0,858.0,1639.0,744.0,4.1544,NEAR BAY,3
9969,-122.48,38.51,49.0,1977.0,393.0,741.0,339.0,3.1312,INLAND,3
7509,-118.27,33.91,32.0,2238.0,471.0,1292.0,467.0,1.1705,<1H OCEAN,1
2348,-119.69,36.8,31.0,2576.0,458.0,1306.0,418.0,3.2813,INLAND,3
3910,-118.53,34.2,26.0,2221.0,662.0,1998.0,603.0,2.8701,<1H OCEAN,2
3095,-118.61,35.47,13.0,2267.0,601.0,756.0,276.0,2.5474,INLAND,2
6510,-118.05,34.07,32.0,4492.0,1075.0,4119.0,1035.0,3.2373,<1H OCEAN,3
5555,-118.41,33.96,15.0,412.0,128.0,310.0,137.0,3.9792,<1H OCEAN,3
6058,-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,<1H OCEAN,4
3658,-118.41,34.21,35.0,2215.0,459.0,1594.0,446.0,4.0167,<1H OCEAN,3
5984,-117.73,34.12,26.0,6459.0,894.0,2487.0,885.0,6.2089,INLAND,5
1933,-120.99,38.69,5.0,5743.0,1074.0,2651.0,962.0,4.1163,INLAND,3
6630,-118.15,34.16,38.0,2471.0,529.0,1661.0,441.0,2.2765,<1H OCEAN,2
8273,-118.16,33.77,29.0,3078.0,786.0,1460.0,736.0,2.875,NEAR OCEAN,2
15454,-117.29,33.18,15.0,3780.0,792.0,1632.0,721.0,2.7644,NEAR OCEAN,2
19324,-122.97,38.53,48.0,3939.0,860.0,1257.0,571.0,2.1165,<1H OCEAN,2
16011,-122.46,37.74,52.0,2053.0,281.0,791.0,287.0,10.959,NEAR BAY,5
2983,-119.03,35.34,34.0,2221.0,436.0,1131.0,408.0,3.0486,INLAND,3
5772,-118.27,34.15,25.0,3018.0,806.0,2205.0,742.0,3.0199,<1H OCEAN,3
11000,-117.79,33.75,26.0,2893.0,345.0,983.0,326.0,13.466,<1H OCEAN,5
4671,-118.29,34.05,11.0,677.0,370.0,1143.0,341.0,2.3864,<1H OCEAN,2
17088,-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,NEAR OCEAN,3
10695,-117.74,33.61,16.0,2753.0,576.0,857.0,546.0,3.7422,<1H OCEAN,3
8914,-118.46,34.03,39.0,1244.0,283.0,886.0,284.0,3.125,<1H OCEAN,3
11967,-117.4,34.0,31.0,1192.0,307.0,1013.0,283.0,2.0742,INLAND,2
11712,-120.15,39.17,32.0,1684.0,359.0,454.0,209.0,2.9125,INLAND,2
19310,-122.85,38.37,16.0,1762.0,293.0,810.0,297.0,4.4437,<1H OCEAN,3
16130,-122.48,37.78,48.0,2835.0,728.0,1674.0,684.0,3.129,NEAR BAY,3
18658,-121.94,36.98,24.0,3010.0,562.0,1360.0,504.0,4.2006,NEAR OCEAN,3
11042,-117.82,33.81,19.0,2556.0,304.0,822.0,260.0,9.9055,<1H OCEAN,5
4920,-118.25,34.0,36.0,1176.0,309.0,1267.0,292.0,1.6382,<1H OCEAN,2
8090,-118.21,33.81,40.0,1815.0,428.0,1807.0,413.0,3.0882,NEAR OCEAN,3
7196,-118.19,34.03,31.0,525.0,136.0,627.0,145.0,2.6964,<1H OCEAN,2
17467,-119.84,34.44,28.0,977.0,162.0,537.0,159.0,4.2404,NEAR OCEAN,3
